python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00150 07017108.wav 0:00:04 176400
00151 07017109.wav 0:00:04 176400
00152 07017145.wav 0:00:04 176400
00153 07018046.wav 0:00:04 176400
00154 07018047.wav 0:00:04 176400
00155 07019009.wav 0:00:04 176400
00156 07022204.wav 0:00:04 176400
00157 07022205.wav 0:00:04 176400
00158 07022416.wav 0:00:04 176400
00159 07022439.wav 0:00:04 176400
00160 07024022.wav 0:00:04 176400
00161 07024023.wav 0:00:04 176400
00162 07024139.wav 0:00:04 176400
00163 07024140.wav 0:00:04 176400
00164 07024178.wav 0:00:04 176400
00165 07024179.wav 0:00:04 176400
00166 07024180.wav 0:00:04 176400
00167 07027121.wav 0:00:04 176400
00168 07027125.wav 0:00:04 176400
00169 07027156.wav 0:00:04 176400
00170 07027157.wav 0:00:04 176400
00171 07027158.wav 0:00:04 176400
00172 07027159.wav 0:00:04 176400
00173 07027166.wav 0:00:04 176400
00174 07027168.wav 0:00:04 176400
00175 07027170.wav 0:00:04 176400
00176 07027172.wav 0:00:04 176400
00177 07027174.wav 0:00:04 176400
00178 07027176.wav 0:00:04 176400
00179 07027178.wav 0:00:04 176400
00180 07027182.wav 0:00:04 176400
00181 07027184.wav 0:00:04 176400
00182 07027188.wav 0:00:04 176400
00183 07027191.wav 0:00:04 176400
00184 07027201.wav 0:00:04 176400
00185 07027230.wav 0:00:04 176400
00186 07030094.wav 0:00:04 176400
00187 07030095.wav 0:00:04 176400
00188 07030096.wav 0:00:04 176400
00189 07030101.wav 0:00:04 176400
00190 07030102.wav 0:00:04 176400
00191 07032009.wav 0:00:04 176400
00192 07032088.wav 0:00:04 176400
00193 07032178.wav 0:00:04 176400
00194 07035010.wav 0:00:04 176400
00195 07035066.wav 0:00:04 176400
00196 07037283.wav 0:00:04 176400
00197 07037284.wav 0:00:04 176400
00198 07037291.wav 0:00:04 176400
00199 07037293.wav 0:00:04 176400
00200 07037325.wav 0:00:04 176400
00201 07038114.wav 0:00:04 176400
00202 07038115.wav 0:00:04 176400
00203 07038127.wav 0:00:04 176400
00204 07038128.wav 0:00:04 176400
00205 07038190.wav 0:00:04 176400
00206 07038226.wav 0:00:04 176400
00207 07040064.wav 0:00:04 176400
00208 07040066.wav 0:00:04 176400
00209 07040073.wav 0:00:04 176400
00210 07040075.wav 0:00:04 176400
00211 07040076.wav 0:00:04 176400
00212 07040078.wav 0:00:04 176400
00213 07040105.wav 0:00:04 176400
00214 07040107.wav 0:00:04 176400
00215 07040108.wav 0:00:04 176400
00216 07040109.wav 0:00:04 176400
00217 07040125.wav 0:00:04 176400
00218 07040146.wav 0:00:04 176400
